"sender" "receiver" "channel" "packetnum" "rssi"
0 13 13 9 -69
0 13 13 10 -69
0 13 14 1 -71
0 13 14 2 -71
0 13 14 3 -71
0 13 14 4 -71
0 13 14 5 -71
0 13 14 6 -71
0 13 14 7 -71
0 13 14 8 -71
0 13 14 9 -71
0 13 14 10 -71
0 13 15 1 -85
0 13 15 2 -85
0 13 15 3 -84
0 13 15 4 -85
0 13 15 5 -85
0 13 15 6 -85
0 13 15 7 -85
0 13 15 8 -85
0 13 15 9 -85
0 13 15 10 -85
0 13 16 1 -71
0 13 16 2 -71
0 13 16 3 -71
0 13 16 4 -71
0 13 16 5 -71
0 13 16 6 -71
0 13 16 7 -71
0 13 16 8 -71
0 13 16 9 -71
0 13 16 10 -71
0 13 17 1 -70
0 13 17 2 -70
0 13 17 3 -70
0 13 17 4 -70
0 13 17 5 -70
0 13 17 6 -70
0 13 17 7 -70
0 13 17 8 -70
0 13 17 9 -70
0 13 17 10 -70
0 13 18 1 -72
0 13 18 2 -72
0 13 18 3 -72
0 13 18 4 -72
0 13 18 5 -72
0 13 18 6 -72
0 13 18 7 -72
0 13 18 8 -72
0 13 18 9 -72
0 13 18 10 -72
0 13 19 1 -87
0 13 19 2 -87
0 13 19 3 -85
0 13 19 4 -87
0 13 19 5 -87
0 13 19 6 -88
0 13 19 7 -88
0 13 19 8 -86
0 13 19 9 -88
0 13 19 10 -87
0 13 20 1 -84
0 13 20 2 -84
0 13 20 3 -84
0 13 20 4 -83
0 13 20 5 -85
0 13 20 6 -84
0 13 20 7 -84
0 13 20 8 -84
0 13 20 9 -84
0 13 20 10 -84
0 13 21 1 -85
0 13 21 2 -85
0 13 21 3 -84
0 13 21 4 -85
0 13 21 5 -85
0 13 21 6 -82
0 13 21 7 -84
0 13 21 8 -85
0 13 21 9 -85
0 13 21 10 -84
0 13 22 1 -71
0 13 22 2 -71
0 13 22 3 -71
0 13 22 4 -71
0 13 22 5 -71
0 13 22 6 -71
0 13 22 7 -71
0 13 22 8 -71
0 13 22 9 -71
0 13 22 10 -71
0 13 23 1 -72
0 13 23 2 -72
0 13 23 3 -72
0 13 23 4 -72
0 13 23 5 -72
0 13 23 6 -72
0 13 23 7 -72
0 13 23 8 -72
0 13 23 9 -72
0 13 23 10 -72
0 13 24 1 -71
0 13 24 2 -71
0 13 24 3 -71
0 13 24 4 -71
0 13 24 5 -71
0 13 24 6 -71
0 13 24 7 -71
0 13 24 8 -71
0 13 24 9 -71
0 13 24 10 -71
0 13 25 1 -78
0 13 25 2 -78
0 13 25 3 -78
0 13 25 4 -78
0 13 25 5 -78
0 13 25 6 -78
0 13 25 7 -78
0 13 25 8 -78
0 13 25 9 -78
0 13 25 10 -78
0 13 26 1 -65
0 13 26 2 -65
0 13 26 3 -65
0 13 26 4 -65
0 13 26 5 -65
0 13 26 6 -65
0 13 26 7 -65
0 13 26 8 -65
0 13 26 9 -65
0 13 26 10 -65
0 4 11 1 -70
0 4 11 2 -70
0 4 11 3 -70
0 4 11 4 -70
0 4 11 5 -70
0 4 11 6 -70
0 4 11 7 -70
0 4 11 8 -70
0 4 11 9 -70
0 4 11 10 -70
0 4 12 1 -75
0 4 12 2 -75
0 4 12 3 -75
0 4 12 4 -75
0 4 12 5 -75
0 4 12 6 -75
0 4 12 7 -75
0 4 12 8 -75
0 4 12 9 -75
0 4 12 10 -75
0 4 13 1 -87
0 4 13 2 -86
0 4 13 3 -86
0 4 13 4 -86
0 4 13 5 -87
0 4 13 6 -88
0 4 13 7 -88
0 4 13 8 -87
0 4 13 9 -87
0 4 13 10 -86
0 4 14 1 -79
0 4 14 2 -79
0 4 14 3 -79
0 4 14 4 -79
0 4 14 5 -79
0 4 14 6 -79
0 4 14 7 -79
0 4 14 8 -79
0 4 14 9 -79
0 4 14 10 -79
0 4 15 1 -75
0 4 15 2 -75
0 4 15 3 -75
0 4 15 4 -75
0 4 15 5 -75
0 4 15 6 -75
0 4 15 7 -75
0 4 15 8 -75
0 4 15 9 -75
0 4 15 10 -75
0 4 16 1 -74
0 4 16 2 -74
0 4 16 3 -74
0 4 16 4 -74
0 4 16 5 -74
0 4 16 6 -74
0 4 16 7 -74
0 4 16 8 -74
0 4 16 9 -74
0 4 16 10 -74
0 4 17 1 -81
0 4 17 2 -81
0 4 17 3 -81
0 4 17 4 -81
0 4 17 5 -80
0 4 17 6 -81
0 4 17 7 -80
0 4 17 8 -81
0 4 17 9 -80
0 4 17 10 -81
0 4 18 1 -82
0 4 18 2 -82
0 4 18 3 -82
0 4 18 4 -82
0 4 18 5 -82
0 4 18 6 -82
0 4 18 7 -81
0 4 18 8 -81
0 4 18 9 -82
0 4 18 10 -82
0 4 19 1 -79
0 4 19 2 -79
0 4 19 3 -79
0 4 19 4 -79
0 4 19 5 -79
0 4 19 6 -79
0 4 19 7 -79
0 4 19 8 -79
0 4 19 9 -79
0 4 19 10 -79
0 4 20 1 -73
0 4 20 2 -73
0 4 20 3 -73
0 4 20 4 -73
0 4 20 5 -73
0 4 20 6 -73
0 4 20 7 -73
0 4 20 8 -73
0 4 20 9 -73
0 4 20 10 -73
0 4 21 1 -73
0 4 21 2 -73
0 4 21 3 -73
0 4 21 4 -73
0 4 21 5 -73
0 4 21 6 -73
0 4 21 7 -73
0 4 21 8 -73
0 4 21 9 -73
0 4 21 10 -73
0 4 22 1 -77
0 4 22 2 -78
0 4 22 3 -78
0 4 22 4 -78
0 4 22 5 -78
0 4 22 6 -78
0 4 22 7 -78
0 4 22 8 -78
0 4 22 9 -78
0 4 22 10 -78
0 4 23 1 -77
0 4 23 2 -76
0 4 23 3 -77
0 4 23 4 -77
0 4 23 5 -77
0 4 23 6 -77
0 4 23 7 -77
0 4 23 8 -77
0 4 23 9 -77
0 4 23 10 -77
0 4 24 1 -82
0 4 24 2 -82
0 4 24 3 -82
0 4 24 4 -82
0 4 24 5 -82
0 4 24 6 -82
0 4 24 7 -82
0 4 24 8 -82
0 4 24 9 -82
