"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
94 1 1 1 0.692667706708268 0.496894409937888 0.934718100890208 0.861812778603269 1 0.878477306002928 0.746227709190672 0.5 1
94 0 2 1 0.692667706708268 0.496894409937888 0.934718100890208 0.861812778603269 1 0.878477306002928 0.746227709190672 0.5 1
95 1 1 1 0.685847589424572 0.499219968798752 0.9359375 0.87556904400607 1 0.881057268722467 0.759943181818182 0.5 1
95 0 2 1 0.685847589424572 0.499219968798752 0.9359375 0.87556904400607 1 0.881057268722467 0.759943181818182 0.5 1
96 0 1 1 0.692667706708268 0.471976401179941 0.933539412673879 0.871951219512195 1 0.882352941176471 0.762362637362637 0.500782472613459 1
96 1 2 1 0.692667706708268 0.471976401179941 0.933539412673879 0.871951219512195 1 0.882352941176471 0.762362637362637 0.499217527386541 1
97 0 1 1 0.68798751950078 0.477611940298507 0.929906542056075 0.871794871794872 0.9984375 0.879765395894428 0.764868603042877 0.500782472613459 1
97 1 2 1 0.68798751950078 0.477611940298507 0.929906542056075 0.871794871794872 0.9984375 0.879765395894428 0.764868603042877 0.499217527386541 1
98 1 1 1 0.689922480620155 0.490045941807044 0.938714499252616 0.874813710879285 1 0.881057268722467 0.76510989010989 0.500782472613459 1
98 0 2 1 0.689922480620155 0.490045941807044 0.938714499252616 0.874813710879285 1 0.881057268722467 0.76510989010989 0.499217527386541 1
99 1 1 1 0.683720930232558 0.49306625577812 0.934375 0.861607142857143 1 0.882352941176471 0.780898876404494 0.5 1
99 0 2 1 0.683720930232558 0.49306625577812 0.934375 0.861607142857143 1 0.882352941176471 0.780898876404494 0.5 1
100 1 1 1 0.68895800933126 0.497667185069984 0.93620178041543 0.879699248120301 1 0.882352941176471 0.753846153846154 0.5 1
100 0 2 1 0.68895800933126 0.497667185069984 0.93620178041543 0.879699248120301 1 0.882352941176471 0.753846153846154 0.5 1
101 1 1 1 0.694227769110764 0.493827160493827 0.940915805022157 0.878419452887538 1 0.883308714918759 0.769017980636238 0.5 1
101 0 2 1 0.694227769110764 0.493827160493827 0.940915805022157 0.878419452887538 1 0.883308714918759 0.769017980636238 0.5 1
102 0 1 1 0.69375 0.484848484848485 0.9328125 0.866270430906389 1 0.882179675994109 0.752032520325203 0.501557632398754 1
102 1 2 1 0.69375 0.484848484848485 0.9328125 0.866270430906389 1 0.882179675994109 0.752032520325203 0.498442367601246 1
103 0 1 1 0.692667706708268 0.496894409937888 0.933641975308642 0.880664652567976 1 0.882352941176471 0.770194986072423 0.500782472613459 1
103 1 2 1 0.692667706708268 0.496894409937888 0.933641975308642 0.880664652567976 1 0.882352941176471 0.770194986072423 0.499217527386541 1
104 1 1 1 0.690513219284603 0.495356037151703 0.938837920489297 0.868263473053892 1 0.879765395894428 0.768583450210379 0.5 1
